location,rating,name,latitude,longitude
Glendale,5,Smbat Minasyan,34.1425,118.2551
glendale,4.9,A CPA ABROAD,34.1425,118.2551
Houston,4.8,Grand Writer,29.7604,95.3698
Houston,4.8,Grand Writer,29.7604,95.3698
Independence,5,robertbarryson,39.0911,94.4155
Indianapolis,5,Shoon Akagi,39.7684,86.1581
Jersey City,5,PhoenixGeek,40.7282,74.0776
johnson city,5,Thoughtfulwrites,36.3134,82.3535
johnson city,5,Thoughtfulwrites,36.3134,82.3535
johnson city,5,Thoughtfulwrites,36.3134,82.3535
johnson city,5,Thoughtfulwrites,36.3134,82.3535
johnson city,5,Thoughtfulwrites,36.3134,82.3535
Kansas City,4.9,Gregory Bair,39.0997,94.5786
Kansas City,4.9,Gregory Bair,39.0997,94.5786
Kansas City,4.9,Gregory Bair,39.0997,94.5786
Kansas City,4.9,Gregory Bair,39.0997,94.5786
Kansas City,4.9,Gregory Bair,39.0997,94.5786
Kansas City,4.9,Gregory Bair,39.0997,94.5786
Kansas City,4.9,Gregory Bair,39.0997,94.5786
Kansas City,4.9,Gregory Bair,39.0997,94.5786
Kansas City,4.9,Gregory Bair,39.0997,94.5786
Kansas City,4.9,Gregory Bair,39.0997,94.5786
Kansas City,4.9,Gregory Bair,39.0997,94.5786
lakewood ranch,5,certaintly,27.4117,82.4285
lakewood ranch,5,certaintly,27.4117,82.4285
lakewood ranch,5,certaintly,27.4117,82.4285
Liberty Township,5,SehreenS,39.404,84.4068
Lombard,4.5,Golpik,41.88,88.0078
Los Angeles,5,Dawn - IT,34.0522,118.2437
Los Angeles,5,Dawn - IT,34.0522,118.2437
Los Angeles,5,Dawn - IT,34.0522,118.2437
Meridian,5,NT Productions,32.3643,88.7037
Meridian,5,NT Productions,32.3643,88.7037
modesto,4.5,Sabrina Rchardsom,37.6391,120.9969
Monroe,5,dessinlab,32.5093,92.1193
MORRISVILLE,4.9,Devon Drynoch,44.5617,72.5984
MORRISVILLE,4.9,Devon Drynoch,44.5617,72.5984
MORRISVILLE,4.9,Devon Drynoch,44.5617,72.5984
Morrisville,5,SVVP24,44.5617,72.5984
Buffalo,5,point2pont,42.8864,78.8784
Buffalo,5,point2pont,42.8864,78.8784
Buffalo,5,point2pont,42.8864,78.8784
New Port Richey,5,gr8creations,28.2442,82.7193
New York,4.3,vineetasaxena,40.7128,74.0059
New York,4.7,Mystie Chamberlin,40.7128,74.0059
New York,5,Holly,40.7128,74.0059
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Newark,5,"Web, Mobile Apps, Desktop",40.7357,74.1724
Northridge,4.8,Infoway LLC,34.2381,118.5301
Northridge,4.8,Infoway LLC,34.2381,118.5301
Northridge,4.8,Infoway LLC,34.2381,118.5301
Northridge,4.8,Infoway LLC,34.2381,118.5301
Northridge,4.8,Infoway LLC,34.2381,118.5301
Northridge,4.8,Infoway LLC,34.2381,118.5301
Northridge,4.8,Infoway LLC,34.2381,118.5301
Oklahoma,5,Dhammika Maheshani,36.154,95.9928
Oklahoma,5,Dhammika Maheshani,36.154,95.9928
Oklahoma,5,Dhammika Maheshani,36.154,95.9928
Omaha,0,kawalsh13,41.2524,95.998
Pearland,4.8,jxsarwar,29.5636,95.286
Pearland,4.8,jxsarwar,29.5636,95.286
Pearland,4.8,jxsarwar,29.5636,95.286
Pearland,4.8,jxsarwar,29.5636,95.286
Pearland,4.8,jxsarwar,29.5636,95.286
Pearland,4.8,jxsarwar,29.5636,95.286
Philadelphia,4.8,WSTIBS,39.9526,75.1652
PITTSBURG,4.8,Campenhout,40.4406,79.9959
PITTSBURG,4.8,Campenhout,40.4406,79.9959
PITTSBURG,4.8,Campenhout,40.4406,79.9959
PITTSBURG,4.8,Campenhout,40.4406,79.9959
Pittsburgh,5,Customized,40.4406,79.9959
Pittsburgh,5,Customized,40.4406,79.9959
Pittsburgh,5,Customized,40.4406,79.9959
Pittsburgh,5,Customized,40.4406,79.9959
Richardson,4.9,hilaloo86,32.9483,96.7299
Richardson,4.9,hilaloo86,32.9483,96.7299
Richardson,4.9,hilaloo86,32.9483,96.7299
Richardson,4.9,hilaloo86,32.9483,96.7299
Rome,5,Jonathan Spratling,34.257,85.1647
Rome,5,Jonathan Spratling,34.257,85.1647
San Jose,5,DavidPon,37.3382,121.8863
San Jose,5,DavidPon,37.3382,121.8863
San Jose,5,DavidPon,37.3382,121.8863
San Jose,5,DavidPon,37.3382,121.8863
San Ramon,5,MelissaVoice,37.7799,121.978
San Ramon,5,MelissaVoice,37.7799,121.978
Santa Barbara,5,Daniel,34.4208,119.6982
Seattle,4.7,Expert Academics,47.6062,122.3321
Seattle,4.7,Expert Academics,47.6062,122.3321
Surprise,4.9,Chris Robert,33.6292,112.3679
Surprise,4.9,Chris Robert,33.6292,112.3679
Tamarac,4.9,Q-Protex,26.2129,80.2498
Tamarac,4.9,Q-Protex,26.2129,80.2498
Tamarac,4.9,Q-Protex,26.2129,80.2498
tempe,4.6,The Bug Stops here,33.4255,111.94
tempe,4.6,The Bug Stops here,33.4255,111.94
tempe,4.6,The Bug Stops here,33.4255,111.94
tempe,4.6,The Bug Stops here,33.4255,111.94
tempe,4.6,The Bug Stops here,33.4255,111.94
tempe,4.6,The Bug Stops here,33.4255,111.94
Tulsa,5,Blake Connally,36.154,95.9928
Tulsa,5,Blake Connally,36.154,95.9928
Tulsa,5,Blake Connally,36.154,95.9928
Tulsa,5,Blake Connally,36.154,95.9928
Tulsa,5,Blake Connally,36.154,95.9928
Tulsa,5,Blake Connally,36.154,95.9928
Tulsa,5,Blake Connally,36.154,95.9928
Tulsa,5,Blake Connally,36.154,95.9928
Turnersville,5,Matt,39.7729,75.0519
Union City,4.9,MydZnecoz,37.5934,122.0438
Urbandale,5,akh32,41.6267,93.7122
Waukesha,5,csieg1120,43.0117,88.2315
West Jordan,5,MasterOfNumbers,40.6097,111.9391
West Jordan,5,MasterOfNumbers,40.6097,111.9391
West Jordan,5,MasterOfNumbers,40.6097,111.9391
West Jordan,5,MasterOfNumbers,40.6097,111.9391
West Jordan,5,MasterOfNumbers,40.6097,111.9391
West Jordan,5,MasterOfNumbers,40.6097,111.9391
West Jordan,5,MasterOfNumbers,40.6097,111.9391
West Jordan,5,MasterOfNumbers,40.6097,111.9391
West Valley,5,Juan-Carlos Mackay,40.6916,112.0011
Worcester,4.8,TRANSFORM INDESIGN,42.2626,71.8023
Worcester,4.8,TRANSFORM INDESIGN,42.2626,71.8023
Worcester,4.8,TRANSFORM INDESIGN,42.2626,71.8023
Worcester,4.8,TRANSFORM INDESIGN,42.2626,71.8023
Worcester,4.8,TRANSFORM INDESIGN,42.2626,71.8023
Worcester,4.8,TRANSFORM INDESIGN,42.2626,71.8023
Worcester,4.8,TRANSFORM INDESIGN,42.2626,71.8023
Worcester,4.8,TRANSFORM INDESIGN,42.2626,71.8023
