location,rating,name,review_count,latitude,longitude
Rome,5,Jonathan Spratling,21,34.257,-85.1647
San Jose,5,DavidPon,11,37.3382,-121.8863
San Ramon,5,MelissaVoice,9,37.7799,-121.978
Seattle,4.7,Expert Academics,89,47.6062,-122.3321
Staten Island,5,Xenophon(s) Studio,2,40.5795,-74.1502
Surprise,4.9,Chris Robert,227,33.6292,-112.3679
Tamarac,4.9,Q-Protex,78,26.2129,-80.2498
tempe,4.6,The Bug Stops here,191,33.4255,-111.94
Tulsa,5,Blake Connally,12,36.154,-95.9928
Turnersville,5,Matt,50,39.7729,-75.0519
Union City,4.9,MydZnecoz,89,37.5934,-122.0438
Urbandale,5,akh32,13,41.6267,-93.7122
Waterford,0,robin16w,0,41.6267,-93.7122
Waukesha,5,csieg1120,19,43.0117,-88.2315
West Jordan,5,MasterOfNumbers,112,40.6097,-111.9391
Worcester,4.8,TRANSFORM INDESIGN,226,42.2626,-71.8023
York,5,djt72,126,39.9626,-76.7277
sarasota,5,Electrolime Design,42,27.3364,-82.5307
schenectady,5,JC DESIGN SOLUTIONS,10,42.8142,-73.9396
myrtle point,5,Kartnip,106,43.0648,-124.139
putnam valley,4.9,etherVision - C. Howell,0,41.3424,-73.8491
levittown,4.9,Appilogix,3,40.7259,-73.5143
blountsville,5,HitekCode,76,34.0815,-86.5911
baltimore,5,rlfosterjr,1,39.2904,-76.6122
bellevue,4.1,DBBestMobile,5,47.6101,-122.2015
bethesda,5,Gevorg (George) Chepchyan,36,38.9847,-77.0947
bridge city,5,Choose Arts,8,30.0208,-93.8457
fosston,5,M.Reierson,14,47.5761,-95.7517
hayward,5,Yi Liu,37,37.6688,-122.0808
jacksonville,4.9,Lawzilly,151,30.3322,-81.6557
northridge,4.8,Infoway LLC,609,34.2381,-118.5301
New York City,4.9,catstevens2009,133,40.7128,-74.0059
New York City,4.8,wigwamtom,15,40.7128,-74.0059
New York City,4.3,craftbynick,10,40.7128,-74.0059
New York City,0,adamfader,0,40.7128,-74.0059
New York City,5,Pegassus14,1,40.7128,-74.0059
New York City,0,theIMGuy,0,40.7128,-74.0059
New York City,3.8,SEH328,1,40.7128,-74.0059
New York City,0,justal86,0,40.7128,-74.0059
New York City,3.8,vorteksIndia,5,40.7128,-74.0059
San Francisco,4.9,yilmazsatti,65,37.7749,-122.4194
San Francisco,5,�o0ez0o,37,37.7749,-122.4194
San Francisco,5,�skulledeu,12,37.7749,-122.4194
San Francisco,0,�fstltna2,0,37.7749,-122.4194
San Francisco,0,�zenglin,0,37.7749,-122.4194
San Francisco,4.9,�Ashmaroli,34,37.7749,-122.4194
Detroit,5,�heenafreelancer1,1,42.3314,-83.0458
Detroit,5,�Mikilittle,1,42.3314,-83.0458
Detroit,4.7,�madhurna,84,42.3314,-83.0458
Detroit,5,DanielleDesigns1,17,42.3314,-83.0458
Detroit,4.9,�kaycharles,19,42.3314,-83.0458
Detroit,4.9,yazb,46,42.3314,-83.0458
Detroit,5,GeenaTowne,54,42.3314,-83.0458
Houston,4.9,ctaborda,119,29.7604,-95.3698
Houston,4.7,VideoJeeves,51,29.7604,-95.3698
Houston,4.9,LogoDesignBee,17,29.7604,-95.3698
Houston,0,rayray123,0,29.7604,-95.3698
Houston,4.3,WpOinT,13,29.7604,-95.3698
Houston,0,rhymintimon,0,29.7604,-95.3698
Dallas,2.2,jamesworks5 ,3,32.7767,-96.797
Dallas,5,webtrix8,21,32.7767,-96.797
Dallas,2.7,MaryMelek,6,32.7767,-96.797
Dallas,5,thetronvw   ,86,32.7767,-96.797
Dallas,2.3,waynewooldridge,2,32.7767,-96.797
Dallas,0,LinguAssist,0,32.7767,-96.797
Boston,5,Celtic2909,27,48.9937,-122.7471
Boston,3.5,alliemadison12   ,2,48.9937,-122.7471
Boston,2.1,zdesign77   ,1,48.9937,-122.7471
Boston,0,zhalelov,0,48.9937,-122.7471
Boston,0,bethcochran888,0,48.9937,-122.7471
Boston,5,calovera,25,48.9937,-122.7471
Boston,5,buehlerap,71,48.9937,-122.7471
Los Angeles,0,jeremihandrinos,0,34.0522,-118.2437
Los Angeles,1.8,coolstarbianca,1,34.0522,-118.2437
Los Angeles,0,derickdownssl,0,34.0522,-118.2437
Los Angeles,0,EmissaryComm,0,34.0522,-118.2437
Los Angeles,0,Bizkonson,0,34.0522,-118.2437
Los Angeles,4.9,rskelly   ,4,34.0522,-118.2437
Los Angeles,1.8,ShawnEndsley   ,2,34.0522,-118.2437
Seattle,5,walterrobertt,89,47.6062,-122.3321
Seattle,0,vw59608vw,0,47.6062,-122.3321
Seattle,0,jzika,0,47.6062,-122.3321
Seattle,0,cmoody72,0,47.6062,-122.3321
Seattle,0,Majora320,0,47.6062,-122.3321
Seattle,0,Kjkemp76,0,47.6062,-122.3321
Seattle,0,tremainrchris,0,47.6062,-122.3321
Seattle,0,ramyrafik,0,47.6062,-122.3321
Seattle,0,matemiminoshvili,0,47.6062,-122.3321
Denver,0,egg82,0,39.7392,-104.9903
Denver,0,albertwesker,0,39.7392,-104.9903
Denver,0,SuperMarioZ,0,39.7392,-104.9903
Denver,5,piscespalio,537,39.7392,-104.9903
Denver,5,dunksdesign,31,39.7392,-104.9903
Denver,4,jakedodd,12,39.7392,-104.9903
Denver,5,maysam,174,39.7392,-104.9903
Denver,5,ta0soft,126,39.7392,-104.9903
Denver,4,WChambers,9,39.7392,-104.9903
Denver,0,laetamike,0,39.7392,-104.9903
Chicago,5,GlobalWDF,29,41.8781,-87.6298
Chicago,1.1,aarthi0726,3,41.8781,-87.6298
Chicago,2.7,webstorm555,3,41.8781,-87.6298
Chicago,0.2,reggiepalencia30,2,41.8781,-87.6298
Chicago,0,hcebeltran,1,41.8781,-87.6298
Chicago,0,hybride,0,41.8781,-87.6298
Chicago,0,mhshakir12,0,41.8781,-87.6298
San Antonio,4.1,catlook,20,29.4241,-98.4936
San Antonio,4.8,written4uintexas,12,29.4241,-98.4936
San Antonio,3.8,readyforwork2215,7,29.4241,-98.4936
San Antonio,3.7,terryanderson,8,29.4241,-98.4936
San Antonio,4.9,sanspeech,36,29.4241,-98.4936
San Antonio,5,webworldsolz,114,29.4241,-98.4936
Austin,0,jonvidaure,0,30.2672,-97.7431
Austin,5,mikesteve,137,30.2672,-97.7431
Austin,5,Zachary1748,42,30.2672,-97.7431
Austin,4.2,jonathandnielsen,12,30.2672,-97.7431
Austin,5,AndrewSciComp,8,30.2672,-97.7431
Austin,4.8,anniegunn,10,30.2672,-97.7431
Austin,5,comwizz2,9,30.2672,-97.7431
Charlotte,5,yeki,75,35.2271,-80.8431
Charlotte,4,ubudog,12,35.2271,-80.8431
Charlotte,4.3,azimjs,29,35.2271,-80.8431
Charlotte,3.4,piannitti3,4,35.2271,-80.8431
Charlotte,2.6,samdknowlton,3,35.2271,-80.8431
Charlotte,1.2,saiyesaswym,2,35.2271,-80.8431
Charlotte,4,gdougniday,8,35.2271,-80.8431
Atlanta,1.6,debsantos,1,33.749,-84.388
Atlanta,0.6,uniquewriter89,1,33.749,-84.388
Atlanta,5,Saliths,54,33.749,-84.388
Atlanta,5,JeoFreelance,65,33.749,-84.388
Atlanta,4.6,mbertani,1,33.749,-84.388
Atlanta,5.3,numberNmatrix,22,33.749,-84.388
Miami,0,Samuelmateran,0,25.7617,-80.1918
Miami,3.6,simonfrfr,3,25.7617,-80.1918
Miami,3.3,carlosov,2,25.7617,-80.1918
Miami,0,AlejandraPetit,0,25.7617,-80.1918
Miami,0,geoasher023,0,25.7617,-80.1918
Miami,0,JonaPineda,0,25.7617,-80.1918
Miami,0,jmejiamazuera,0,25.7617,-80.1918
Miami,5,luiswilliam,51,25.7617,-80.1918
Miami,5,qprotex,78,25.7617,-80.1918
